Number,Title,Request Address,Request Method,Request Type
149,plugins-Delete App Management,/admin-api/v1/plugins/filemgr/filemgr-app,DELETE,Plugin
148,plugins-Delete Content Category Management,/admin-api/v1/plugins/content/content-category,DELETE,Plugin
147,plugins-Delete Article Management,/admin-api/v1/plugins/content/content-article,DELETE,Plugin
146,plugins-Delete Announcement Management,/admin-api/v1/plugins/content/content-announcement,DELETE,Plugin
145,app-Delete User Level Management,/admin-api/v1/app/user/user-level,DELETE,App
144,app-Delete Country Code Management,/admin-api/v1/app/user/user-country-code,DELETE,App
143,admin-Delete System User Management,/admin-api/v1/admin/sys/sys-user,DELETE,Admin
142,admin-Delete Role Management,/admin-api/v1/admin/sys/sys-role,DELETE,Admin
141,admin-Delete Post Management,/admin-api/v1/admin/sys/sys-post,DELETE,Admin
140,admin-Delete Operation Log,/admin-api/v1/admin/sys/sys-oper-log,DELETE,Admin
139,admin-Delete Menu Management,/admin-api/v1/admin/sys/sys-menu,DELETE,Admin
138,admin-Delete Login Log,/admin-api/v1/admin/sys/sys-login-log,DELETE,Admin
137,admin-Delete Table Management,/admin-api/v1/admin/sys/sys-table,DELETE,Admin
136,admin-Delete Configuration Management,/admin-api/v1/admin/sys/sys-config,DELETE,Admin
135,admin-Delete API Management,/admin-api/v1/admin/sys/sys-api,DELETE,Admin
134,admin-Delete Department Management,/admin-api/v1/admin/sys/sys-dept,DELETE,Admin
133,admin-Delete Dictionary Type,/admin-api/v1/admin/sys/sys-dict/type,DELETE,Admin
132,admin-Delete Dictionary Data,/admin-api/v1/admin/sys/sys-dict/data,DELETE,Admin
131,plugins-Update App Management,/admin-api/v1/plugins/filemgr/filemgr-app/:id,PUT,Plugin
130,plugins-Update Content Category Management,/admin-api/v1/plugins/content/content-category/:id,PUT,Plugin
129,plugins-Update Article Management,/admin-api/v1/plugins/content/content-article/:id,PUT,Plugin
128,plugins-Update Announcement Management,/admin-api/v1/plugins/content/content-announcement/:id,PUT,Plugin
127,app-Update User Management,/admin-api/v1/app/user/user/:id,PUT,App
126,app-Update User Level Management,/admin-api/v1/app/user/user-level/:id,PUT,App
125,app-Update Country Code Management,/admin-api/v1/app/user/user-country-code/:id,PUT,App
124,app-Update User Configuration Management,/admin-api/v1/app/user/user-conf/:id,PUT,App
123,admin-Update Post Management,/admin-api/v1/admin/sys/sys-post/:id,PUT,Admin
122,admin-Update Menu Management,/admin-api/v1/admin/sys/sys-menu/:id,PUT,Admin
121,admin-Update Table Management,/admin-api/v1/admin/sys/sys-table/:id,PUT,Admin
120,admin-Update Configuration Management,/admin-api/v1/admin/sys/sys-config/:id,PUT,Admin
119,admin-Update API Management,/admin-api/v1/admin/sys/sys-api/:id,PUT,Admin
118,admin-Update Role Management,/admin-api/v1/admin/sys/sys-role/:id,PUT,Admin
117,admin-Update Role Management Data Scope,/admin-api/v1/admin/sys/sys-role/role-data-scope,PUT,Admin
116,admin-Update Role Management Status,/admin-api/v1/admin/sys/sys-role/role-status,PUT,Admin
115,admin-Update Department Management,/admin-api/v1/admin/sys/sys-dept/:id,PUT,Admin
114,admin-Update Dictionary Type,/admin-api/v1/admin/sys/sys-dict/type/:id,PUT,Admin
113,admin-Update Dictionary Data,/admin-api/v1/admin/sys/sys-dict/data/:id,PUT,Admin
112,admin-Update System User Management,/admin-api/v1/admin/sys/sys-user/:id,PUT,Admin
111,admin-Update System User Status,/admin-api/v1/admin/sys/sys-user/update-status,PUT,Admin
110,admin-Reset System User Password,/admin-api/v1/admin/sys/sys-user/pwd-reset,PUT,Admin
109,admin-Update System Logged-in User Password,/admin-api/v1/admin/sys/sys-user/profile/pwd,PUT,Admin
108,admin-Update System Logged-in User Info,/admin-api/v1/admin/sys/sys-user/profile,PUT,Admin
107,admin-System Login,/admin-api/v1/login,POST,Admin
106,plugins-Upload App,/admin-api/v1/plugins/filemgr/filemgr-app/upload,POST,Plugin
105,plugins-Add App Management,/admin-api/v1/plugins/filemgr/filemgr-app,POST,Plugin
104,plugins-Add Content Category Management Details,/admin-api/v1/plugins/content/content-category,POST,Plugin
103,plugins-Add Article Management,/admin-api/v1/plugins/content/content-article,POST,Plugin
102,plugins-Add Announcement Management,/admin-api/v1/plugins/content/content-announcement,POST,Plugin
101,app-Add User Level Management,/admin-api/v1/app/user/user-level,POST,App
100,app-Add Country Code Management,/admin-api/v1/app/user/user-country-code,POST,App
99,app-Add User Management,/admin-api/v1/app/user/user,POST,App
98,admin-Add Role Management,/admin-api/v1/admin/sys/sys-role,POST,Admin
97,admin-Add Post Management,/admin-api/v1/admin/sys/sys-post,POST,Admin
96,admin-Add Menu Management,/admin-api/v1/admin/sys/sys-menu,POST,Admin
95,admin-Add Table Management,/admin-api/v1/admin/sys/sys-table,POST,Admin
